Name of Painter,Subject of Painting,Style,Medium,Size,Frame,Location,Price ($),Delivery (days),Shipment,Color Palette,Copy or Original,Print or Real,Recommended Environment,Mood/Atmosphere,Theme/Lighting Requirements,Reproduction Type,Target Audience
Noah,Seascape,Abstract Expressionism,Watercolor,"20""x30""",Yes,Chicago,459,6,Free Shipping,Neutral Tones,Original,Print,Bedroom,Calming,Natural Light,Screen Print,Corporate Clients
Vincent,Abstract,Abstract Expressionism,Charcoal,"20""x30""",No,Miami,657,6,Free Shipping,Cool Tones,Original,Print,Living Room,Relaxing,Natural Light,N/A,Corporate Clients
Ava,Still Life,Modern,Watercolor,"18""x24""",No,Miami,907,7,Standard,Cool Tones,Original,Real,Kid Room,Joyful,Natural Light,N/A,Corporate Clients
Liam,Wildlife,Cubism,Acrylic,"18""x24""",No,Calgary,649,3,Standard,Oceanic Tones,Original,Real,Office,Reflective,Bright Light,Lithograph,Young Professionals
Olivia,Landscape,Abstract Expressionism,Charcoal,"30""x40""",Yes,Miami,539,5,Free Shipping,Earthy Tones,Copy,Print,Office,Energetic,Bright Light,Lithograph,Corporate Clients
Ava,Landscape,Abstract Expressionism,Watercolor,"24""x36""",No,Chicago,943,3,Free Shipping,Warm Tones,Original,Print,Gallery,Energetic,Bright Light,N/A,Art Collectors
Frida,Fantasy,Modern,Charcoal,"18""x24""",Yes,Montreal,623,4,Free Shipping,Cool Tones,Copy,Real,Living Room,Relaxing,Natural Light,Lithograph,Families
Jija,Fantasy,Cubism,Watercolor,"30""x40""",No,Montreal,344,4,Free Shipping,Earthy Tones,Copy,Print,Bedroom,Reflective,Natural Light,Giclée,Interior Designers
Noah,Fantasy,Surrealism,Oil,"16""x20""",Yes,Los Angeles,205,3,Free Shipping,Cool Tones,Copy,Real,Kid Room,Relaxing,Natural Light,Screen Print,Interior Designers
Vincent,Landscape,Abstract Expressionism,Mixed Media,"30""x40""",Yes,Montreal,965,6,Free Shipping,Earthy Tones,Copy,Real,Gallery,Calming,Natural Light,N/A,Interior Designers
Leonardo,Portrait,Cubism,Charcoal,"18""x24""",No,Miami,663,10,Express,Earthy Tones,Original,Real,Gallery,Reflective,Bright Light,Giclée,Young Professionals
Emma,Abstract,Surrealism,Acrylic,"24""x36""",Yes,Los Angeles,715,7,Standard,Oceanic Tones,Original,Print,Office,Reflective,Dim Light,N/A,Young Professionals
Pablo,Seascape,Cubism,Oil,"20""x30""",Yes,Toronto,649,6,Standard,Earthy Tones,Original,Print,Office,Relaxing,Bright Light,Screen Print,Young Professionals
Pablo,Seascape,Realism,Oil,"16""x20""",Yes,Vancouver,130,4,Standard,Earthy Tones,Original,Real,Office,Relaxing,Bright Light,N/A,Young Professionals
Noah,Wildlife,Realism,Charcoal,"30""x40""",No,Miami,225,8,Free Shipping,Neutral Tones,Original,Print,Kid Room,Relaxing,Natural Light,Screen Print,Corporate Clients
Liam,Wildlife,Impressionism,Watercolor,"20""x30""",Yes,New York,924,7,Free Shipping,Neutral Tones,Original,Print,Gallery,Energetic,Bright Light,Screen Print,Corporate Clients
Frida,Wildlife,Modern,Acrylic,"30""x40""",No,New York,879,5,Express,Neutral Tones,Copy,Real,Gallery,Energetic,Natural Light,Lithograph,Art Collectors
Emma,Landscape,Surrealism,Oil,"18""x24""",Yes,Miami,205,7,Express,Oceanic Tones,Copy,Real,Living Room,Joyful,Natural Light,Giclée,Young Professionals
Emma,Still Life,Surrealism,Acrylic,"24""x36""",Yes,Los Angeles,212,10,Express,Cool Tones,Original,Real,Living Room,Calming,Natural Light,Lithograph,Young Professionals
Jija,Fantasy,Cubism,Watercolor,"16""x20""",Yes,Montreal,746,3,Standard,Warm Tones,Copy,Print,Kid Room,Reflective,Bright Light,Screen Print,Families
Liam,Wildlife,Surrealism,Oil,"30""x40""",Yes,Toronto,727,10,Free Shipping,Oceanic Tones,Original,Real,Kid Room,Energetic,Natural Light,N/A,Families
Frida,Portrait,Modern,Acrylic,"24""x36""",Yes,Vancouver,715,4,Standard,Neutral Tones,Copy,Print,Office,Calming,Bright Light,Screen Print,Interior Designers
Leonardo,Wildlife,Modern,Watercolor,"18""x24""",Yes,Chicago,956,4,Free Shipping,Neutral Tones,Copy,Print,Kid Room,Calming,Bright Light,Lithograph,Corporate Clients
Liam,Fantasy,Realism,Charcoal,"18""x24""",No,Los Angeles,891,8,Express,Neutral Tones,Original,Print,Living Room,Energetic,Natural Light,Lithograph,Interior Designers
Claude,Seascape,Impressionism,Acrylic,"20""x30""",No,Montreal,875,10,Express,Warm Tones,Original,Real,Living Room,Reflective,Dim Light,Screen Print,Families
